participant,session,date,expName,psychopyVersion,frameRate,RecalledWord,RT,Prime,PrimeCon,PrimeDuration,OutputPosition,Block
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,DRUGS,3082.155,firstword,firstword,,1,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,KNIFE,1316.365,YOUTH,Related,66.32500002,2,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,THANKS,2683.25,THIN,Identical,67.34499999,3,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,CLOWN,1785.885,EARLY,Unrelated,66.98,4,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,POTATO,2183.69,SEVERAL,Related,66.75499998,5,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,KNIFE,2401.02,BEHIND,Unrelated,66.51499995,6,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,HATE,2774.22,SKETCH,Related,66.00499997,7,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,WRONG,2267.095,MARRY,Identical,65.30999998,8,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,DRAW,1366.44,ROCK,Unrelated,65.60500001,9,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,EXACT,2001.85,BIRTH,Related,65.99999999,10,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,DEATH,2333.285,UNCLE,Unrelated,66.41999999,11,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,SCISSORS,2083.425,LEMON,Unrelated,65.94499998,12,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,YOUNG,2567.245,REAL,Identical,65.88499999,13,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,THIN,1316.62,TIGER,Unrelated,66.09500002,14,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,DRAW,1567.845,QUART,Unrelated,66.54000003,15,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,RAIN,1616.245,TOCK,Identical,66.72499998,16,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,TOCK,2966.995,CANCER,Unrelated,66.69000001,17,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,STAMP,2549.425,MEAN,Unrelated,66.38499995,18,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,DRAW,1299.92,WORST,Unrelated,66.46,19,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,STAMP,2891.75,LEASE,Related,66.64500001,20,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,XXXXX,8000.215,MUSCLE,Unrelated,66.37999997,21,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,XXXXX,7999.93,PEPPER,Unrelated,66.185,22,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,XXXXX,8001.46,AGREE,Related,66.16000005,23,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,XXXXX,7999.985,FINGER,Unrelated,65.61000005,24,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,DEATH,4318.16,FENCE,Unrelated,66.08000002,25,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,DRUGS,2867.105,HEDGE,Related,66.12500001,26,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,XXXXX,7999.585,SHERIFF,Identical,66.06000004,27,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,XXXXX,7996.445,SPIT,Identical,66.52499997,28,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,XXXXX,7998.375,STRIPE,Identical,66.49,29,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,XXXXX,8000.83,CARD,Identical,66.75,30,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,XXXXX,7999.78,EXCUSE,Identical,65.88499999,31,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,XXXXX,7998.755,PHONE,Unrelated,67.84500001,32,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,XXXXX,7998.315,VOTE,Identical,65.435,33,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,XXXXX,8000.955,SAME,Identical,65.09500003,34,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,XXXXX,8003.095,THROW,Unrelated,66.1,35,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,XXXXX,8001.68,NECK,Identical,65.955,36,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,XXXXX,8000.88,PIECE,Identical,65.49000001,37,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,XXXXX,8000.985,LEAVES,Unrelated,65.51500002,38,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,XXXXX,7993.76,ANNOY,Identical,66.28999999,39,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,XXXXX,8000.41,CHILD,Identical,66.07999996,40,1
JH,1,2020-11-02_17h59.59.127,M2.3ConstantTotalFinal,2020.1.3,60,XXXXX,7999.655,TRACTOR,Related,65.60999999,41,1
