StudID,StudID_RT,key_resp_4.keys,key_resp_4.rt,captured_string,Text20_RT,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trialsRecognition.thisRepN,trialsRecognition.thisTrialN,trialsRecognition.thisN,trialsRecognition.thisIndex,trialsRecognition.ran,Rand,RecogWord,keyQuestion.keys,keyQuestion.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt,Question5Answer,Question5Answer_RT,Question6Answer,Question6Answer_RT,Question7Answer,Question7Answer_RT,demoResp,demoRT,demoloop.thisRepN,demoloop.thisTrialN,demoloop.thisN,demoloop.thisIndex,demoloop.ran,DemoQuestion
490278,18207.39,space,13.46378,BREAD,7993.05,0,0,0,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FOOD,7990.88,1,0,1,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CAKE,7988.435,2,0,2,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PENCIL,7996.19,3,0,3,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ENGLISH,7992.34,4,0,4,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,WRITE,7993.125,5,0,5,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PENNY,8003.66,6,0,6,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BALL,8001.755,7,0,7,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOOL,7991.705,8,0,8,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8003.285,9,0,9,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,OVEN,8003.335,10,0,10,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CHILD,7997.69,11,0,11,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7990.31,12,0,12,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8003.75,13,0,13,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7996.35,14,0,14,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7991.965,15,0,15,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7993.36,16,0,16,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,HUNGRY,8004.935,17,0,17,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TIRED,7991.02,18,0,18,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,STRESS,8009.98,19,0,19,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,POTATO,8009.195,20,0,20,0,1,AYT,002,2020-12-17_13h42.15.664,DelayedExpNT,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
